,country,city,geo_subdivision1,geo_subdivision2,datetime,proportion_undefined,proportion_timeout,proportion_abort,proportion_unreachable,proportion_terminated,proportion_channel_open,avg_dns_success_time,missing_dns_success,avg_dns_failure_time,missing_dns_failure,count_dns_failure,ssl_error_prop,avg_tls_handshake_time,ne_adm1_code,ioda_id,_merge
750,CU,San Germán,11,,2025-04-16 23:00:00+00:00,0.0,0.7254901960784313,0.0,1.0784313725490196,0.09803921568627451,0.0392156862745098,167.44710607288224,0.0,34.624858563943874,0.0,298.62420382165595,0.07807807807807808,231.575662842309,,,left_only
1582,IT,Naples,72,NA,2025-04-16 19:00:00+00:00,0.0,0.007547169811320755,0.0007547169811320754,0.25660377358490566,0.011320754716981131,0.0,25.605401423417415,0.0,4.9298685130397555,0.0,167.8021563342318,0.09468616262482168,34.710978253247376,,,left_only
1583,IT,Naples,72,NA,2025-04-16 21:00:00+00:00,0.0,0.00778642936596218,0.0,0.2424916573971079,0.018909899888765295,0.0,24.004529659758873,0.0,18.23120386500504,0.0,156.11683295783715,0.10076502732240437,31.647055701494516,,,left_only
1584,IT,Naples,72,NA,2025-04-16 20:00:00+00:00,0.0,0.0027124773960217,0.0009041591320072332,0.2766726943942134,0.020795660036166366,0.0,26.653415074108494,0.0,13.82598274838521,0.0,148.45342760528752,0.09156481667000602,31.761126486440247,,,left_only
1585,IT,Naples,72,NA,2025-04-16 23:00:00+00:00,0.0,0.010582010582010581,0.0,0.40476190476190477,0.023809523809523808,0.0,19.800542470516557,0.0,9.000644670360627,0.0,193.33029453015433,0.07712884529647793,35.68387907839841,,,left_only
1586,IT,Naples,72,NA,2025-04-16 18:00:00+00:00,0.0,0.004830917874396135,0.0005367686527106817,0.2050456253354804,0.015029522275899088,0.0,25.912236358852414,0.0,7.027200583851997,0.0,143.81337153772688,0.0930827259941184,33.31207800864895,,,left_only
1587,IT,Naples,72,NA,2025-04-16 22:00:00+00:00,0.0,0.0006186842647968653,0.0,0.03340895029903073,0.0014435966178593523,0.0,21.532945757346614,0.0,7.308146981995772,0.0,407.1121521465531,0.0832384123368089,31.570446757902904,,,left_only
5136,NA,Windhoek,KH,,2025-04-16 23:00:00+00:00,0.0,0.053763440860215055,0.0,0.5376344086021505,0.021505376344086023,0.0,48.5958099393867,0.0,24.317124381456228,0.0,475.75416666666655,0.14016172506738545,118.04911116979511,,,left_only
5137,NA,Windhoek,KH,,2025-04-16 21:00:00+00:00,0.0,0.039603960396039604,0.0,0.9900990099009901,0.04950495049504951,0.0,66.518993870287,0.0,17.511404659709473,0.0,433.5906593406595,0.1423076923076923,118.95965956202302,,,left_only
5138,NA,Windhoek,KH,,2025-04-16 18:00:00+00:00,0.0,0.03571428571428571,0.0,0.7544642857142857,0.0,0.0,52.89691303860252,0.0,27.913987922029897,0.0,162.44732297063914,0.10129564193168433,101.39845970518545,,,left_only
5139,NA,Windhoek,KH,,2025-04-16 22:00:00+00:00,0.0,0.0027272727272727275,0.0,0.08272727272727273,0.004545454545454545,0.0,37.395478623564784,0.0003969829297340214,15.501314091787608,0.0,1070.7465016146414,0.14489876935291782,76.9200173238673,,,left_only
5140,NA,Windhoek,KH,,2025-04-16 19:00:00+00:00,0.0,0.08227848101265822,0.0,0.9683544303797469,0.012658227848101266,0.0,61.39442356265399,0.0,119.79992442918012,0.0,265.3532818532818,0.11494252873563218,114.13827268303474,,,left_only
5141,NA,Windhoek,KH,,2025-04-16 20:00:00+00:00,0.0,0.046052631578947366,0.0,0.7368421052631579,0.03289473684210526,0.0,58.32874026074871,0.0,130.16758721618228,0.0,482.8600451467269,0.12202852614896989,106.67314514548025,,,left_only
5996,IQ,Najaf,NA,,2025-04-16 18:00:00+00:00,0.0,0.008620689655172414,0.0,0.33620689655172414,0.14655172413793102,0.0,26.276269751339164,0.0,9.596904323044763,0.0,198.59302325581402,0.07157464212678936,41.70666240147199,,,left_only
6169,ES,Pamplona,NC,NA,2025-04-16 20:00:00+00:00,0.0,0.005952380952380952,0.0,0.30952380952380953,0.017857142857142856,0.0,25.75597865050023,0.0,5.934393231792082,0.0,123.60313901345303,0.11550151975683891,34.11583380808679,,,left_only
6170,ES,Pamplona,NC,NA,2025-04-16 18:00:00+00:00,0.0,0.0033222591362126247,0.0,0.19269102990033224,0.016611295681063124,0.0,26.52250475081792,0.0,13.94150668938908,0.0,146.82156611039804,0.10655021834061135,34.36106139753543,,,left_only
